STATUS | wrapper  | 2012/12/02 04:01:33 | Service is running.  Stopping it...
STATUS | wrapper  | 2012/12/02 04:01:36 | Selenium Node - Google Chrome stopped.
STATUS | wrapper  | 2012/12/02 04:01:36 | Selenium Node - Google Chrome service removed.
STATUS | wrapper  | 2012/12/02 04:01:40 | Selenium Node - Google Chrome service installed.
STATUS | wrapper  | 2012/12/02 04:01:52 | --> Wrapper Started as Service
STATUS | wrapper  | 2012/12/02 04:01:52 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/12/02 04:01:52 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/12/02 04:01:52 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/12/02 04:01:52 | 
STATUS | wrapper  | 2012/12/02 04:01:53 | Launching a JVM...
INFO   | jvm 1    | 2012/12/02 04:01:53 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/12/02 04:01:53 | Dec 02, 2012 4:01:53 AM org.openqa.grid.selenium.GridLauncher main
INFO   | jvm 1    | 2012/12/02 04:01:53 | INFO: Launching a selenium grid node
INFO   | jvm 1    | 2012/12/02 04:01:53 | adding browserName=chrome,maxInstances=3
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.460 INFO - Java: Oracle Corporation 23.5-b02
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.460 INFO - OS: Windows 7 6.1 x86
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.460 INFO - v2.26.0, with Core v2.26.0. Built from revision 18041
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.596 INFO - RemoteWebDriver instances should connect to: http://127.0.0.1:4447/wd/hub
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.596 INFO - Version Jetty/5.1.x
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.596 INFO - Started HttpContext[/selenium-server/driver,/selenium-server/driver]
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.596 INFO - Started HttpContext[/selenium-server,/selenium-server]
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.596 INFO - Started HttpContext[/,/]
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.596 INFO - Started org.openqa.jetty.jetty.servlet.ServletHandler@27491a
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.596 INFO - Started HttpContext[/wd,/wd]
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.603 INFO - Started SocketListener on 0.0.0.0:4447
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.603 INFO - Started org.openqa.jetty.jetty.Server@d965ea
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.603 INFO - using the json request : {"class":"org.openqa.grid.common.RegistrationRequest","capabilities":[{"platform":"VISTA","browserName":"chrome","maxInstances":"3"}],"configuration":{"port":4447,"host":"10.0.2.15","hubHost":"localhost","registerCycle":5000,"hub":"http://localhost:4445/grid/register","url":"http://10.0.2.15:4447","remoteHost":"http://10.0.2.15:4447","register":true,"proxy":"org.openqa.grid.selenium.proxy.DefaultRemoteProxy","maxSession":5,"browser":"browserName=chrome,maxInstances=3","role":"webdriver","hubPort":4445}}
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.603 INFO - starting auto register thread. Will try to register every 5000 ms.
INFO   | jvm 1    | 2012/12/02 04:01:54 | 04:01:54.611 INFO - Registering the node to hub :http://localhost:4445/grid/register
INFO   | jvm 1    | 2012/12/02 04:01:58 | 04:01:58.166 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1f9c72c at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:01:58 | 04:01:58.166 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:02:01 | 04:02:01.408 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@11525cd at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:02:01 | 04:02:01.408 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:02:04 | 04:02:04.841 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@158cfda at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:02:04 | 04:02:04.841 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:02:08 | 04:02:08.405 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@cae1b3 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:02:08 | 04:02:08.405 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:02:12 | 04:02:12.181 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@55d1ef at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:02:12 | 04:02:12.181 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:02:16 | 04:02:16.101 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@3d0f0e at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:02:16 | 04:02:16.101 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:02:20 | 04:02:20.258 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1271218 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:02:20 | 04:02:20.258 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:02:24 | 04:02:24.578 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@190c9dc at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:02:24 | 04:02:24.578 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:02:29 | 04:02:29.152 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@830993 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:02:29 | 04:02:29.152 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:02:34 | 04:02:33.933 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@187f194 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:02:34 | 04:02:33.933 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:02:39 | 04:02:38.984 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@c8e08f at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:02:39 | 04:02:38.984 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:02:44 | 04:02:44.199 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1d5c7a1 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:02:44 | 04:02:44.199 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:02:49 | 04:02:49.746 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@76ec7a at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:02:49 | 04:02:49.746 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:02:55 | 04:02:55.486 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@d60cdd at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:02:55 | 04:02:55.486 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:03:01 | 04:03:01.591 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@452267 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:03:01 | 04:03:01.591 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:03:07 | 04:03:07.905 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@8137c9 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:03:07 | 04:03:07.905 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:03:14 | 04:03:14.631 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1e94776 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:03:14 | 04:03:14.631 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:03:21 | 04:03:21.576 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@2a4591 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:03:21 | 04:03:21.576 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:03:29 | 04:03:28.900 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@85c106 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:03:29 | 04:03:28.900 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:03:36 | 04:03:36.426 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1bb4422 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:03:36 | 04:03:36.426 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:03:43 | 04:03:43.457 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1e28fe3 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:03:43 | 04:03:43.457 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:03:50 | 04:03:50.221 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@192d2ba at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:03:50 | 04:03:50.221 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:03:56 | 04:03:56.549 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@8bed44 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:03:56 | 04:03:56.549 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:04:02 | 04:04:02.645 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1b6e978 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:04:02 | 04:04:02.645 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:04:08 | 04:04:08.335 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1fe6f88 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:04:08 | 04:04:08.335 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:04:13 | 04:04:13.822 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@144719c at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:04:13 | 04:04:13.822 INFO - Done: /status
INFO   | jvm 1    | 2012/12/02 04:04:18 | 04:04:18.940 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1e4a1bf at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:04:18 | 04:04:18.940 INFO - Done: /status
