STATUS | wrapper  | 2012/12/02 04:02:29 | Service is running.  Stopping it...
STATUS | wrapper  | 2012/12/02 04:02:32 | Selenium Node - Internet Explorer stopped.
STATUS | wrapper  | 2012/12/02 04:02:32 | Selenium Node - Internet Explorer service removed.
STATUS | wrapper  | 2012/12/02 04:02:36 | Selenium Node - Internet Explorer service installed.
STATUS | wrapper  | 2012/12/03 19:42:20 | --> Wrapper Started as Service
STATUS | wrapper  | 2012/12/03 19:42:20 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/12/03 19:42:20 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/12/03 19:42:20 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/12/03 19:42:20 | 
STATUS | wrapper  | 2012/12/03 19:42:21 | Launching a JVM...
INFO   | jvm 1    | 2012/12/03 19:42:22 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/12/03 19:42:24 | Dec 03, 2012 7:42:23 PM org.openqa.grid.selenium.GridLauncher main
INFO   | jvm 1    | 2012/12/03 19:42:24 | INFO: Launching a selenium grid node
INFO   | jvm 1    | 2012/12/03 19:42:24 | adding browserName=internet explorer,maxInstances=3
INFO   | jvm 1    | 2012/12/03 19:42:28 | 19:42:28.816 INFO - Java: Oracle Corporation 23.5-b02
INFO   | jvm 1    | 2012/12/03 19:42:28 | 19:42:28.816 INFO - OS: Windows 7 6.1 x86
INFO   | jvm 1    | 2012/12/03 19:42:28 | 19:42:28.816 INFO - v2.26.0, with Core v2.26.0. Built from revision 18041
INFO   | jvm 1    | 2012/12/03 19:42:29 | 19:42:29.897 INFO - RemoteWebDriver instances should connect to: http://127.0.0.1:4448/wd/hub
INFO   | jvm 1    | 2012/12/03 19:42:29 | 19:42:29.907 INFO - Version Jetty/5.1.x
INFO   | jvm 1    | 2012/12/03 19:42:29 | 19:42:29.907 INFO - Started HttpContext[/selenium-server/driver,/selenium-server/driver]
INFO   | jvm 1    | 2012/12/03 19:42:29 | 19:42:29.907 INFO - Started HttpContext[/selenium-server,/selenium-server]
INFO   | jvm 1    | 2012/12/03 19:42:30 | 19:42:29.907 INFO - Started HttpContext[/,/]
INFO   | jvm 1    | 2012/12/03 19:42:30 | 19:42:29.907 INFO - Started org.openqa.jetty.jetty.servlet.ServletHandler@41a882
INFO   | jvm 1    | 2012/12/03 19:42:30 | 19:42:29.907 INFO - Started HttpContext[/wd,/wd]
INFO   | jvm 1    | 2012/12/03 19:42:30 | 19:42:29.917 INFO - Started SocketListener on 0.0.0.0:4448
INFO   | jvm 1    | 2012/12/03 19:42:30 | 19:42:29.917 INFO - Started org.openqa.jetty.jetty.Server@b8e42
INFO   | jvm 1    | 2012/12/03 19:42:30 | 19:42:29.917 INFO - using the json request : {"class":"org.openqa.grid.common.RegistrationRequest","capabilities":[{"platform":"VISTA","browserName":"internet explorer","maxInstances":"3"}],"configuration":{"port":4448,"host":"10.0.2.15","hubHost":"localhost","registerCycle":5000,"hub":"http://localhost:4445/grid/register","url":"http://10.0.2.15:4448","remoteHost":"http://10.0.2.15:4448","register":true,"proxy":"org.openqa.grid.selenium.proxy.DefaultRemoteProxy","maxSession":5,"browser":"browserName=internet explorer,maxInstances=3","role":"webdriver","hubPort":4445}}
INFO   | jvm 1    | 2012/12/03 19:42:30 | 19:42:30.373 INFO - starting auto register thread. Will try to register every 5000 ms.
INFO   | jvm 1    | 2012/12/03 19:42:30 | 19:42:30.383 INFO - Registering the node to hub :http://localhost:4445/grid/register
INFO   | jvm 1    | 2012/12/03 19:42:36 | 19:42:36.401 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@cb3966 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:42:36 | 19:42:36.480 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:42:41 | 19:42:41.111 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@c7e580 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:42:41 | 19:42:41.112 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:42:45 | 19:42:45.636 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@12cc460 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:42:45 | 19:42:45.636 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:42:50 | 19:42:50.426 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@ee336f at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:42:50 | 19:42:50.426 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:42:55 | 19:42:55.343 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1e94776 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:42:55 | 19:42:55.343 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:43:00 | 19:43:00.616 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@2a4591 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:43:00 | 19:43:00.616 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:43:06 | 19:43:06.025 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@85c106 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:43:06 | 19:43:06.025 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:43:11 | 19:43:11.151 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1bb4422 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:43:11 | 19:43:11.151 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:43:16 | 19:43:16.170 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@1713b06 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:43:16 | 19:43:16.170 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:43:21 | 19:43:21.187 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@10385f1 at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:43:21 | 19:43:21.187 INFO - Done: /status
INFO   | jvm 1    | 2012/12/03 19:43:26 | 19:43:26.204 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@118dcec at URL: /status)
INFO   | jvm 1    | 2012/12/03 19:43:26 | 19:43:26.204 INFO - Done: /status
