STATUS | wrapper  | 2012/12/02 04:03:13 | Service is running.  Stopping it...
STATUS | wrapper  | 2012/12/02 04:03:17 | Selenium Node - Mozilla Firefox stopped.
STATUS | wrapper  | 2012/12/02 04:03:17 | Selenium Node - Mozilla Firefox service removed.
STATUS | wrapper  | 2012/12/02 04:03:19 | --> Wrapper Started as Console
STATUS | wrapper  | 2012/12/02 04:03:19 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/12/02 04:03:19 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/12/02 04:03:19 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/12/02 04:03:19 | 
STATUS | wrapper  | 2012/12/02 04:03:20 | Launching a JVM...
INFO   | jvm 1    | 2012/12/02 04:03:20 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/12/02 04:03:20 | Dec 02, 2012 4:03:20 AM org.openqa.grid.selenium.GridLauncher main
INFO   | jvm 1    | 2012/12/02 04:03:20 | INFO: Launching a selenium grid node
INFO   | jvm 1    | 2012/12/02 04:03:20 | adding browserName=firefox,maxInstances=3
INFO   | jvm 1    | 2012/12/02 04:03:21 | 04:03:21.839 INFO - Java: Oracle Corporation 23.5-b02
INFO   | jvm 1    | 2012/12/02 04:03:21 | 04:03:21.853 INFO - OS: Windows 7 6.1 x86
INFO   | jvm 1    | 2012/12/02 04:03:21 | 04:03:21.853 INFO - v2.26.0, with Core v2.26.0. Built from revision 18041
INFO   | jvm 1    | 2012/12/02 04:03:22 | 04:03:22.061 INFO - RemoteWebDriver instances should connect to: http://127.0.0.1:4446/wd/hub
INFO   | jvm 1    | 2012/12/02 04:03:22 | 04:03:22.061 INFO - Version Jetty/5.1.x
INFO   | jvm 1    | 2012/12/02 04:03:22 | 04:03:22.061 INFO - Started HttpContext[/selenium-server/driver,/selenium-server/driver]
INFO   | jvm 1    | 2012/12/02 04:03:22 | 04:03:22.061 INFO - Started HttpContext[/selenium-server,/selenium-server]
INFO   | jvm 1    | 2012/12/02 04:03:22 | 04:03:22.061 INFO - Started HttpContext[/,/]
INFO   | jvm 1    | 2012/12/02 04:03:22 | 04:03:22.075 INFO - Started org.openqa.jetty.jetty.servlet.ServletHandler@44c9f6
INFO   | jvm 1    | 2012/12/02 04:03:22 | 04:03:22.075 INFO - Started HttpContext[/wd,/wd]
INFO   | jvm 1    | 2012/12/02 04:03:22 | 04:03:22.075 INFO - Started SocketListener on 0.0.0.0:4446
INFO   | jvm 1    | 2012/12/02 04:03:22 | 04:03:22.075 INFO - Started org.openqa.jetty.jetty.Server@c3507d
INFO   | jvm 1    | 2012/12/02 04:03:22 | 04:03:22.075 INFO - using the json request : {"class":"org.openqa.grid.common.RegistrationRequest","capabilities":[{"platform":"VISTA","browserName":"firefox","maxInstances":"3"}],"configuration":{"port":4446,"host":"10.0.2.15","hubHost":"localhost","registerCycle":5000,"hub":"http://localhost:4445/grid/register","url":"http://10.0.2.15:4446","remoteHost":"http://10.0.2.15:4446","register":true,"proxy":"org.openqa.grid.selenium.proxy.DefaultRemoteProxy","maxSession":5,"browser":"browserName=firefox,maxInstances=3","role":"webdriver","hubPort":4445}}
INFO   | jvm 1    | 2012/12/02 04:03:22 | 04:03:22.075 INFO - starting auto register thread. Will try to register every 5000 ms.
INFO   | jvm 1    | 2012/12/02 04:03:22 | 04:03:22.075 INFO - Registering the node to hub :http://localhost:4445/grid/register
INFO   | jvm 1    | 2012/12/02 04:03:29 | 04:03:29.756 INFO - Executing: org.openqa.selenium.remote.server.handler.Status@ced8c6 at URL: /status)
INFO   | jvm 1    | 2012/12/02 04:03:29 | 04:03:29.756 INFO - Done: /status
STATUS | wrapper  | 2012/12/02 04:03:42 | Selenium Node - Mozilla Firefox service installed.
STATUS | wrapper  | 2012/12/03 19:42:20 | --> Wrapper Started as Service
STATUS | wrapper  | 2012/12/03 19:42:20 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/12/03 19:42:20 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/12/03 19:42:20 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/12/03 19:42:20 | 
STATUS | wrapper  | 2012/12/03 19:42:22 | Launching a JVM...
INFO   | jvm 1    | 2012/12/03 19:42:22 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/12/03 19:42:24 | Dec 03, 2012 7:42:23 PM org.openqa.grid.selenium.GridLauncher main
INFO   | jvm 1    | 2012/12/03 19:42:24 | INFO: Launching a selenium grid node
