STATUS | wrapper  | 2012/12/02 04:04:35 | Service is running.  Stopping it...
STATUS | wrapper  | 2012/12/02 04:04:38 | Selenium Hub stopped.
STATUS | wrapper  | 2012/12/02 04:04:38 | Selenium Hub service removed.
STATUS | wrapper  | 2012/12/02 04:04:41 | Selenium Hub service installed.
STATUS | wrapper  | 2012/12/03 19:42:20 | --> Wrapper Started as Service
STATUS | wrapper  | 2012/12/03 19:42:20 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/12/03 19:42:20 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/12/03 19:42:20 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/12/03 19:42:20 | 
STATUS | wrapper  | 2012/12/03 19:42:21 | Launching a JVM...
INFO   | jvm 1    | 2012/12/03 19:42:22 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/12/03 19:42:24 | Dec 03, 2012 7:42:23 PM org.openqa.grid.selenium.GridLauncher main
INFO   | jvm 1    | 2012/12/03 19:42:24 | INFO: Launching a selenium grid server
INFO   | jvm 1    | 2012/12/03 19:42:27 | 2012-12-03 19:42:27.045:INFO:osjs.Server:jetty-7.x.y-SNAPSHOT
INFO   | jvm 1    | 2012/12/03 19:42:27 | 2012-12-03 19:42:27.298:INFO:osjsh.ContextHandler:started o.s.j.s.ServletContextHandler{/,null}
INFO   | jvm 1    | 2012/12/03 19:42:27 | 2012-12-03 19:42:27.409:INFO:osjs.AbstractConnector:Started SocketConnector@0.0.0.0:4445
STATUS | wrapper  | 2012/12/03 19:48:21 | --> Wrapper Started as Service
STATUS | wrapper  | 2012/12/03 19:48:21 | Java Service Wrapper Community Edition 32-bit 3.5.15
STATUS | wrapper  | 2012/12/03 19:48:21 |   Copyright (C) 1999-2012 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2012/12/03 19:48:21 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2012/12/03 19:48:21 | 
STATUS | wrapper  | 2012/12/03 19:48:22 | Launching a JVM...
INFO   | jvm 1    | 2012/12/03 19:48:22 | WrapperManager: Initializing...
INFO   | jvm 1    | 2012/12/03 19:48:24 | Dec 03, 2012 7:48:23 PM org.openqa.grid.selenium.GridLauncher main
INFO   | jvm 1    | 2012/12/03 19:48:24 | INFO: Launching a selenium grid server
INFO   | jvm 1    | 2012/12/03 19:48:25 | WrapperSimpleApp: 
INFO   | jvm 1    | 2012/12/03 19:48:25 | WrapperSimpleApp Error: Encountered an error running main:
INFO   | jvm 1    | 2012/12/03 19:48:25 | WrapperSimpleApp Error: org.openqa.selenium.WebDriverException: Could not find a non-loopback ip4 address for this machine
INFO   | jvm 1    | 2012/12/03 19:48:25 | Build info: version: '2.26.0', revision: '18041', time: '2012-11-01 19:33:38'
INFO   | jvm 1    | 2012/12/03 19:48:25 | System info: os.name: 'Windows 7', os.arch: 'x86', os.version: '6.1', java.version: '1.7.0_09'
INFO   | jvm 1    | 2012/12/03 19:48:25 | Driver info: driver.version: unknown
INFO   | jvm 1    | 2012/12/03 19:48:25 | WrapperSimpleApp Error: 	at org.openqa.selenium.net.NetworkUtils.getIp4NonLoopbackAddressOfThisMachine(NetworkUtils.java:69)
INFO   | jvm 1    | 2012/12/03 19:48:25 | WrapperSimpleApp Error: 	at org.openqa.grid.web.Hub.<init>(Hub.java:112)
INFO   | jvm 1    | 2012/12/03 19:48:25 | WrapperSimpleApp Error: 	at org.openqa.grid.selenium.GridLauncher.main(GridLauncher.java:60)
INFO   | jvm 1    | 2012/12/03 19:48:26 | WrapperSimpleApp Error: 	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
INFO   | jvm 1    | 2012/12/03 19:48:26 | WrapperSimpleApp Error: 	at sun.reflect.NativeMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2012/12/03 19:48:26 | WrapperSimpleApp Error: 	at sun.reflect.DelegatingMethodAccessorImpl.invoke(Unknown Source)
INFO   | jvm 1    | 2012/12/03 19:48:26 | WrapperSimpleApp Error: 	at java.lang.reflect.Method.invoke(Unknown Source)
INFO   | jvm 1    | 2012/12/03 19:48:26 | WrapperSimpleApp Error: 	at org.tanukisoftware.wrapper.WrapperSimpleApp.run(WrapperSimpleApp.java:290)
INFO   | jvm 1    | 2012/12/03 19:48:26 | WrapperSimpleApp Error: 	at java.lang.Thread.run(Unknown Source)
STATUS | wrapper  | 2012/12/03 19:48:27 | <-- Wrapper Stopped
